"id","name","description","lon","lat","bbox.lon1","bbox.lat1","bbox.lon2","bbox.lat2","scope","download_url","info_url","licence","access","storage","five.stars.score","file.format","date_publication","date_last-update","material1","material2","material3","material4","material5","measurement_type1","measurement_type2","measurement_type3","measurement_type4","notes"
17,"PaleoAsiaDB","Middle and Upper Paleolithic sites in the Eastern hemisphere",,,-9.4,70.72,154.68,-42.85,"multisite","https://umdb.um.u-tokyo.ac.jp/fmi/webd/PaleoAsiaDB","https://doi.org/10.1007/978-981-99-3712-7","?","open",,3,"CSV",2012,2023,"sites",,,,,"radiocarbon",,,,"check si autre chose que des sites"
18,"Crops Across Eurasia","Crops Across Eurasia",,,44.32,55.16,145.2,-8.1,"multisite","https://doi.org/10.6067/XCV8MK6G05","https://doi.org/10.1126/sciadv.aar4491","?","restricted",,2,"XLSX",2018,,"botanical","bones","charcoal","shell",,"radiocarbon",,,,
20,"Liang Bua","Stone artefact raw materials at Liang Bua",120.460278,-8.534167,,,,,"single site","https://doi.org/10.5281/zenodo.6622155","https://doi.org/10.1007/s41982-022-00133-9","CC-BY-4.0","open",,3,"CSV",2022,,"lithic",,,,,"pXRF",,,,
21,"Rapa Nui Mata’a","Morphometric analyses of Easter Island mata'a 2D shape outlines",,,-109.451637,-27.164557,-109.403572,-27.197236,"multisite","https://github.com/clipo/mataaMorphometrics","https://doi.org/10.15184/aqy.2015.189","MIT","open",,3,"CSV",2015,2021,"lithic",,,,,"morphometrics",,,,
22,"Madjedbebe Geoarchaeology and Lithics","Madjedbebe Geoarchaeology and Lithics, 2012-2015 Excavations",132.883333,-12.5,,,,,"single site","https://doi.org/10.6084/m9.figshare.4652536","https://doi.org/10.1038/nature22968","CC-BY-4.0","open",,3,"CSV",2017,,"lithic","shell","sediments",,,"radiocarbon","granulometry",,,"check si dating"
23,"Madjedbebe Archaeology","The archaeology, chronology and stratigraphy of Madjedbebe",132.883333,-12.5,,,,,"single site","https://github.com/benmarwick/1989-excavation-report-Madjedbebe","https://doi.org/10.1016/j.jhevol.2015.03.014","?","open",,3,"CSV",2014,2017,"lithic","shell",,,,,,,,
24,"Samoa Coring","Samoa Archaeological Core Data and Analyses",-171.7486,-13.9274,,,,,"multisite","https://doi.org/10.17608/k6.auckland.7647218.v4","https://doi.org/10.1016/j.jasrep.2019.101931","CC-BY-4.0","open",,3,"CSV",2019,,"sediments",,,,,,,,,
25,"Madjedbebe Pandanus","Pandanus nutshell at Madjedbebe",132.883333,-12.5,,,,,"single site","https://doi.org/10.1038/s41559-020-01379-8","https://doi.org/10.1038/s41559-020-01379-8","CC-BY-4.0","open",,1,"PDF",2021,,"botanical",,,,,"isotopic",,,,
26,"Khao Toh Chong","Report on archaeological excavations at Khao Toh Chong, Krabi, Thailand",99.79122,7.5514,,,,,"single site","https://doi.org/10.6084/m9.figshare.2065602.v4","https://doi.org/10.1016/j.jas.2016.10.010","CC-BY-4.0","open",,3,"CSV",2016,,"pottery","bones","lithic","sediments","charcoal","radiocarbon","granulometry","ICP-AES","XRD",
27,"Lithics from Cape Bruguieres","Submerged Lithics from Cape Bruguieres",116.81906,-20.4066,,,,,"single site","https://doi.org/10.1371/journal.pone.0233912.s002","https://doi.org/10.1371/journal.pone.0233912","CC-BY-4.0","open",,2,"XLSX",2020,,"lithic",,,,,"technology",,,,
28,"Sunda Sea level","Sea Level Transgression and Submerged Lakes on the Sunda Shelf between 21000 and 450 BP",,,94.5,17.92,128.69,-10.57,"multisite","https://doi.org/10.5281/zenodo.3929568","https://doi.org/10.58837/tnh.6.2.102930","CC-BY-4.0","open",,3,"CSV",2020,,"sea level",,,,,,,,,
29,"Liang Abu pottery","Data set for the pottery excavated at the Liang Abu site (East Kalimantan, Indonesia)",117.287861,1.468306,,,,,"single site","https://doi.org/10.5281/zenodo.3929562","https://doi.org/10.1080/15564894.2022.2108947","CC-BY-4.0","open",,3,"CSV",2022,,"pottery",,,,,,,,,
30,"Liang Abu lithic","Data set for the lithic material excavated at the Liang Abu site (East Kalimantan, Indonesia)",117.287862,1.468306,,,,,"single site","https://doi.org/10.5281/zenodo.6774519","https://doi.org/10.1080/15564894.2022.2108947","CC-BY-4.0","open",,3,"CSV",2022,,"lithic",,,,,,,,,
31,"Liang Abu fauna","Data set for the fauna material excavated at the Liang Abu site (East Kalimantan, Indonesia)",117.287863,1.468306,,,,,"single site","https://doi.org/10.5281/zenodo.6774530","https://doi.org/10.1080/15564894.2022.2108947","CC-BY-4.0","open",,3,"CSV",2022,,"bones",,,,,,,,,
32,"Stone tools over 3 million years","Dataset describing presence or absence of stone tool making techniques in assemblages spanning the past 3 million years",,,138.1059,21.303986,-130.0915,-46.3,"multisite","https://doi.org/10.5281/zenodo.7847839","https://doi.org/10.5334/joad.114","CC-BY-4.0","open",,3,"CSV",2023,,"lithic",,,,,,,,,
33,"Obsidian sourcing in NZ","Geochemical Sourcing of New Zealand Obsidians by Portable X-Ray Fluorescence from 2011 to 2018",,,165.454,-47.872,179.692,-34.016,"multisite","https://doi.org/10.6067/XCV87947N7","https://doi.org/10.5334/joad.52","CC-BY-3.0","open",,2,"XLSX",2018,,"lithic",,,,,"pXRF",,,,
34,"Burial sites in Southeast Asia","Burial sites in Mainland and Island Southeast Asia",,,97.382813,23.982238,135.878906,-18.87926,"multisite","https://doi.org/10.1371/journal.pone.0267635.s003","https://doi.org/10.1371/journal.pone.0267635","CC-BY-4.0","open",,3,"CSV",2022,,"burial",,,,,,,,,
35,"Oxis","The Origins of Complex Society in Sulawesi (articles, books, maps, dissertations)",,,118.586426,1.880522,125.441895,-6.564206,"multisite","https://oxis.org","https://oxis.org","CC-BY-NC-4.0","open",,1,"HTML",,2021,,,,,,,,,,
36,"Faleva Valley Samoa","Data sets associated with archaeological (features, dating) and environmental (soil, core) analyses undertaken in the villages of Saoluafata, Falefa, and Falevao",-171.58593,-13.91599,,,,,"multisite","https://doi.org/10.17608/k6.auckland.c.7239247.v1","https://doi.org/10.1371/journal.pone.0304850","CC-BY-NC-SA-4.0","open",,3,"CSV",2024,,"sediments","charcoal",,,,"radiocarbon","pXRF","TOC/TN",,
37,"Island Settlement Chronology","A dataset of island physical characteristics, geography and settlement times",,,150.7132,3.7,-109.22813,44.5083,"multisite","https://doi.org/10.17608/k6.auckland.19210209.v1","https://doi.org/10.1007/s10963-022-09168-w","CC-BY-4.0","open",,3,"CSV",2022,,,,,,,,,,,
38,"Qaranicagi ceramics Fiji","Fiji, Qaranicagi Archaeological Ceramics",177.12716,-17.29058,,,,,"multisite","https://doi.org/10.17608/k6.auckland.5821236","https://doi.org/10.1002/j.1834-4453.2002.tb00499.x","CC-BY-NC-SA-4.0","open",,3,"CSV",2018,2019,"pottery",,,,,"morphometrics",,,,
39,"Tula ceramics Samoa","Tula American Samoa Archaeological Ceramic Data",-170.56661,-14.25024,,,,,"single site","https://doi.org/10.17608/k6.auckland.6089879.v2","https://doi.org/10.1016/j.jaa.2013.08.005","CC-BY-4.0","open",,3,"CSV",2018,,"pottery",,,,,"morphometrics",,,,
40,"Fiji ceramics spectrometry","Compositional diversity among ceramics from western fijian islands (Yasawa) with laser ablation-inductively coupled plasma-mass spectrometry",177.339,-17.002,,,,,"multisite","https://doi.org/10.17608/k6.auckland.5714968.v1","https://doi.org/10.1016/j.jas.2005.08.003","CC-BY-NC-SA-4.0","open",,3,"CSV",2017,,"pottery",,,,,"LA-ICP-MS",,,,
41,"HMS Pandora Human Remains","Human Remains from the 18th century HMS Pandora wreck, Queensland",143.983333,-11.383333,,,,,"single site","https://intarch.ac.uk/journal/issue11/4/bone.cfm","https://doi.org/10.11141/ia.11.4","CC-BY-3.0","open",,"NA","CSV",2002,2003,"bones",,,,,"morphometrics",,,,
42,"LGM Vegetation Map","A GIS-based Vegetation Map of the World at the Last Glacial Maximum (25,000-15,000 BP)",,,92.8125,69.803242,-109.403572,-53.498501,"multisite","https://intarch.ac.uk/journal/issue11/2/map/download_page_js.htm","https://doi.org/10.11141/ia.11.2","CC-BY-3.0","open",,3,"TIFF, SHP",2001,,"botanical",,,,,"photography",,,,
43,"Puʻu Aliʻi fishhooks","Puʻu Aliʻi fishhooks database (Hawai’i).",-155.677836,18.911067,,,,,"single site","https://data.bishopmuseum.org/archaeology/index.php?b=r&s=l&l=Puu%20Alii","https://doi.org/10.3167/armw.2016.040105","?","open",,"NA","HTML",2015,,"organic tools",,,,,"photography",,,,
44,"Wai'ahukini fishhooks","Wai'ahukini rockshelter fishhooks database (Hawai’i).",-155.70627,18.95425,,,,,"single site","https://data.bishopmuseum.org/archaeology/index.php?b=r&s=l&l=Waiahukini","https://doi.org/10.3167/armw.2016.040105","?","open",,"NA","HTML",2015,,"organic tools",,,,,"photography",,,,
45,"Makalei fishhooks","Makalei rockshelter fishhooks database (Hawai’i).",-155.673668,18.920019,,,,,"single site","https://data.bishopmuseum.org/archaeology/index.php?b=r&s=l&l=Makalei","https://doi.org/10.3167/armw.2016.040105","?","open",,"NA","HTML",2015,,"organic tools",,,,,"photography",,,,
46,"Hawaiian Archaeological Survey","Information about 12,800 sites in Hawai'i excavated by Bishop Museum archaeologists.",,,-159.851074,22.484137,-154.533691,18.658736,"multisite","https://data.bishopmuseum.org/HAS2","https://doi.org/10.3167/armw.2016.040105","?","open",,"NA","HTML",2014,,,,,,,,,,,
47,"Hawaiian Cultural Heritage Project","Hawaiian Cultural Heritage Project",,,-158.598633,21.983801,-154.533691,18.658736,"multisite","https://ks3d.org","https://ks3d.org","?","open",,"NA","NA",2017,2022,"organic tools","botanical","lithic","shell",,"3d modelling","photography",,,
48,"D-Place Binford","D-PLACE dataset derived from Binford 2001 'Constructing Frames of Reference'",,,92.47,44.01,153.02,-42.62,"multisite","https://doi.org/10.5281/zenodo.13319363","https://github.com/D-PLACE/dplace-dataset-binford/tree/v3.1","CC-BY-NC-4.0","open",,4,"CSV",2023,2024,"ethnography",,,,,,,,,
49,"Sogen site Indonesia","Data for fieldwork and analysis of the BASINS Project in 2022 ",111.429868,-7.383736,,,,,"single site","https://hdl.handle.net/20.500.12690/RIN/N2JJDO","https://hdl.handle.net/20.500.12690/RIN/N2JJDO","?","open",,2,"ACCDB",2025,,"bones","charcoal","shell","botanical","lithic","photography","granulometry","AMS",,"anisotropy of magnetic susceptibility "
50,"Rapa Nui radiocarbon data","An island-wide assessment of the chronology of settlement and land use on Easter Island based on radiocarbon data",,,-109.459534,-27.050565,-109.223328,-27.207618,"multisite","https://doi.org/10.1016/j.jas.2013.06.020","https://doi.org/10.1016/j.jas.2013.06.020","?","restricted",,1,"PDF",2013,,"charcoal","botanical",,,,"radiocarbon",,,,
51,"Islands classification","Classifying Pacific islands",,,130.06,28.3925,-87.072222,-27.592222,"multisite","https://doi.org/10.6084/m9.figshare.c.3698395_D1.v1","https://doi.org/10.1186/s40562-016-0041-8","CC-BY-4.0","open",,3,"CSV",2017,,"physical space",,,,,,,,,
52,"IsoArcH","World isotope database across archaeology, anthropology, environmental science, forensics",,,111.445313,52.908902,205.839844,-47.989922,"multisite","https://isoarch.org/","https://docs.isoarch.org/","CC-BY-4.0","open",,2,"XLSX",2015,2025,"botanical","bones","shell",,,"isotopic",,,,
53,"Brown Australian Craniometrics","Peter Brown’s Australian Terminal Pleistocene and early Holocene cranial, mandibular and dental metrics",,,141.844,-33.45,144.315,-35.9919,"multisite","https://www.peterbrown-palaeoanthropology.net/resource.html","https://doi.org/10.1016/j.jhevol.2010.05.007","?","open",,3,"XLS",2012,,"bones",,,,,"morphometrics",,,,
54,"Liang Bua craniometrics","Peter Brown et al. Craniometrics data for Liang Bua (Flores, Indonesia) Homo floresiensis",120.443496,-8.530836,,,,,"single site","https://static-content.springer.com/esm/art%3A10.1038%2Fnature02999/MediaObjects/41586_2004_BFnature02999_MOESM1_ESM.doc","https://doi.org/10.1038/nature02999","?","open",,2,"DOC",2004,,"bones",,,,,"morphometrics",,,,
55,"Museum of stone tools","Interactive 3D models of stone artefacts",,,100.532706323296,39.9582162775388,175.6134,-40.3528,"multisite","https://stonetoolsmuseum.com","https://stonetoolsmuseum.com","CC-BY-4.0","open",,3,"OBJ",2022,2025,"lithic",,,,,"3d modelling",,,,
56,"Ban Lum Khao excavation archives","Charles Higham’s archives: site plans, burial drawings and burial photos (1996-1997, Thailand)",102.346187,15.249367,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFNzRXcUlUampmRzg?resourcekey=0-KorAS2gLMva7GUpIaam-mw","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
57,"Ban Na Di excavation archives","Archives of Charles Higham’s excavations at Ban Na Di (Thailand)",102.2662628,16.9612567,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFR2gzZmdhblM0eUE?resourcekey=0-W3MVf00QM22nG5IAulqiNg","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
58,"Ban Non Wat excavation archives","Charles Higham’s archives: layer plans, burial drawings, burial photos, daily log book, field photo log (2000-2007, Thailand)",102.268889,15.274444,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFZ3BPZUZxVmNCOGM?resourcekey=0-mihPzmEz_NyWLtreZdqUEg","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
59,"Khok Phanom Di excavation archives","Charles Higham’s archives: daily fields notes and site photographs (1985, Thailand)",101.1403248,13.5850726,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFc09xQjd5QWUtX00?resourcekey=0-lJnINK2ou7IF_ahlZRbcSg","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
60,"Noen U-Loke excavation archives","Charles Higham’s archives: sections and layer plans, daily log book and burial drawings (1998-1999, Thailand)",102.255456416894,15.2605407904769,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFOUEyOHVnMGM1cVk?resourcekey=0-cqRbMyyZ3EnM30Lhhkm-zw","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
61,"Non Ban Jak excavation archives","Charles Higham’s archives: layer plans, burial drawings and burial photos (2010-2017, Thailand)",102.170296454487,15.2587461951977,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFRFlmSEUyMmNSUXM?resourcekey=0-plFV8CMM9UoQIVY5yTjWPA","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
62,"Non Muang Kao excavation archives","Charles Higham’s archives: sections and layer plans, daily log book and burial drawings (1997-1998, Thailand)",102.286884434744,15.2153608688181,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFajJNdUIzTHBGYk0?resourcekey=0-wO0QeV1IIlpf3gWl96BnjQ","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
63,"Non Nor excavation archives","Charles Higham’s archives: daily fields notes and site photographs (1991-1993, Thailand)",101.1931,13.4764,,,,,"single site","https://drive.google.com/drive/folders/0BwyPRRjONdiFemtWVURvdUhvUWM?resourcekey=0-6GJi1ZetbncvYn_l3_UENw","http://higham-archive.nz/","?","open",,1,"JPG",2017,,"excavation documents",,,,,,,,,
